"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000006","PUBLISHED","2006","AFR","STP","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","AMR","SUR","<1000 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","TCD","16 000 [13 000-20 000]","16000","13000","20000",""
"HIV_0000000006","PUBLISHED","2006","AFR","TGO","11 000 [7 900-14 000]","11000","7900","14000",""
"HIV_0000000006","PUBLISHED","2006","SEAR","THA","34 000 [29 000-41 000]","34000","29000","41000",""
"HIV_0000000006","PUBLISHED","2006","EUR","TJK","<1000 [<200- 1 400]","","","1400",""
"HIV_0000000006","PUBLISHED","2006","AFR","UGA","74 000 [66 000-81 000]","74000","66000","81000",""
"HIV_0000000006","PUBLISHED","2006","EUR","UKR","21 000 [16 000-28 000]","21000","16000","28000",""
"HIV_0000000006","PUBLISHED","2006","AMR","URY","<1000 [<100- 3 100]","","","3100",""
"HIV_0000000006","PUBLISHED","2006","AMR","USA","20 000 [16 000-26 000]","20000","16000","26000",""
"HIV_0000000006","PUBLISHED","2006","EUR","UZB","?","0","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","ZMB","67 000 [61 000-74 000]","67000","61000","74000",""
"HIV_0000000006","PUBLISHED","2006","AFR","ZWE","140 000 [130 000-150 000]","140000","130000","150000",""
"HIV_0000000006","PUBLISHED","2011","EUR","HRV","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","SEAR","BTN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","WPR","NZL","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","FIN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","EMR","LBN","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","CPV","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","BGR","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","HUN","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2011","SEAR","LKA","<500 [<200- 2 300]","","","2300",""
"HIV_0000000006","PUBLISHED","2011","EUR","NOR","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","BLZ","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","GUY","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","BHS","<500 [<500-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","AZE","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","MUS","<1000 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","ISR","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","CRI","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","SWE","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","LVA","<1000 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","LUX","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","STP","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","WPR","MNG","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","SVN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","COD","?","0","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","DZA","? [<1000- 1 500]","0","","1500",""
"HIV_0000000006","PUBLISHED","2011","SEAR","IND","?","0","","",""
"HIV_0000000006","PUBLISHED","2011","EMR","OMN","?","0","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","USA","20 000 [16 000-28 000]","20000","16000","28000",""
"HIV_0000000006","PUBLISHED","2011","AFR","UGA","62 000 [55 000-72 000]","62000","55000","72000",""
"HIV_0000000006","PUBLISHED","2011","AFR","MOZ","74 000 [62 000-89 000]","74000","62000","89000",""
"HIV_0000000006","PUBLISHED","2011","AFR","TZA","84 000 [75 000-94 000]","84000","75000","94000",""
"HIV_0000000006","PUBLISHED","2011","EUR","KGZ","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","URY","<1000 [<100- 3 300]","","","3300",""
"HIV_0000000006","PUBLISHED","2011","AFR","BFA"," 6 800 [5 500- 9 800]","6800","5500","9800",""
"HIV_0000000006","PUBLISHED","2011","AMR","HTI"," 5 800 [4 400- 7 100]","5800","4400","7100",""
"HIV_0000000006","PUBLISHED","2011","AMR","CUB","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","GMB","<1000 [<200- 1 600]","","","1600",""
"HIV_0000000006","PUBLISHED","2011","EUR","MDA"," 1 000 [<1000- 1 300]","1000","","1300",""
"HIV_0000000006","PUBLISHED","2011","WPR","KOR","<500 [<500- 1 000]","","","1000",""
"HIV_0000000006","PUBLISHED","2011","AFR","TGO"," 8 900 [6 100-12 000]","8900","6100","12000",""
"HIV_0000000006","PUBLISHED","2011","EUR","ROU","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","FRA"," 1 300 [1 000- 1 600]","1300","1000","1600",""
"HIV_0000000006","PUBLISHED","2011","AMR","BOL"," 1 600 [<1000- 2 500]","1600","","2500",""
"HIV_0000000006","PUBLISHED","2011","AFR","NAM"," 5 200 [3 800- 8 200]","5200","3800","8200",""
"HIV_0000000006","PUBLISHED","2011","AFR","SWZ"," 6 800 [6 100- 7 800]","6800","6100","7800",""
"HIV_0000000006","PUBLISHED","2011","EUR","BEL","<200 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","BLR"," 1 100 [<1000- 1 600]","1100","","1600",""
"HIV_0000000006","PUBLISHED","2011","WPR","AUS","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","EMR","YEM"," 1 600 [1 300- 2 000]","1600","1300","2000",""
"HIV_0000000006","PUBLISHED","2011","SEAR","MMR","16 000 [13 000-18 000]","16000","13000","18000",""
"HIV_0000000006","PUBLISHED","2011","AFR","ERI"," 1 400 [<1000- 3 500]","1400","","3500",""
"HIV_0000000006","PUBLISHED","2011","AFR","MRT"," 1 500 [<1000- 2 500]","1500","","2500",""
"HIV_0000000006","PUBLISHED","2011","AFR","GNB","<1000 [<1000- 1 300]","","","1300",""
"HIV_0000000006","PUBLISHED","2011","EUR","NLD","<200 [<200-<200]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","LBR"," 2 300 [1 800- 2 900]","2300","1800","2900",""
"HIV_0000000006","PUBLISHED","2011","WPR","VNM","11 000 [8 500-15 000]","11000","8500","15000",""
"HIV_0000000006","PUBLISHED","2011","EMR","MAR"," 1 600 [<1000- 2 500]","1600","","2500",""
"HIV_0000000006","PUBLISHED","2011","AFR","LSO","14 000 [13 000-16 000]","14000","13000","16000",""
"HIV_0000000006","PUBLISHED","2011","AMR","HND"," 2 800 [1 900- 4 100]","2800","1900","4100",""
"HIV_0000000006","PUBLISHED","2011","AFR","MDG"," 2 600 [2 000- 4 000]","2600","2000","4000",""
"HIV_0000000006","PUBLISHED","2011","SEAR","IDN","15 000 [8 000-23 000]","15000","8000","23000",""
"HIV_0000000006","PUBLISHED","2011","AMR","DOM"," 1 700 [1 200- 2 300]","1700","1200","2300",""
"HIV_0000000006","PUBLISHED","2011","AFR","GAB"," 2 500 [1 400- 4 300]","2500","1400","4300",""
"HIV_0000000006","PUBLISHED","2011","EUR","PRT","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","ZAF","270 000 [240 000-300 000]","270000","240000","300000",""
"HIV_0000000006","PUBLISHED","2011","AMR","CHL","?","0","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","SEN"," 1 600 [<1000- 2 400]","1600","","2400",""
"HIV_0000000006","PUBLISHED","2011","AFR","CMR","34 000 [30 000-39 000]","34000","30000","39000",""
"HIV_0000000006","PUBLISHED","2011","WPR","KHM"," 1 400 [<1000- 5 000]","1400","","5000",""
"HIV_0000000006","PUBLISHED","2011","AMR","CAN","<500 [<500-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","EUR","DEU","<500 [<500-<500]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","PER"," 3 000 [<1000- 8 500]","3000","","8500",""
"HIV_0000000006","PUBLISHED","2011","WPR","CHN","?","0","","",""
"HIV_0000000006","PUBLISHED","2011","AFR","GIN"," 4 000 [2 800- 5 400]","4000","2800","5400",""
"HIV_0000000006","PUBLISHED","2011","AFR","MWI","44 000 [38 000-50 000]","44000","38000","50000",""
"HIV_0000000006","PUBLISHED","2011","EUR","GBR","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2011","AMR","ARG","?","0","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","ARM","<200 [<100-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","WPR","AUS","<200 [<200-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","AUT","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","AZE","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","SEAR","BGD","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","BGR","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","BHS","<1000 [<1000-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","BLR","<100 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","SEAR","BTN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","BWA","18 000 [16 000-20 000]","18000","16000","20000",""
"HIV_0000000006","PUBLISHED","2001","AFR","CAF","16 000 [11 000-19 000]","16000","11000","19000",""
"HIV_0000000006","PUBLISHED","2001","AMR","CAN","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","CHE","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","COD","?","0","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","COG"," 6 900 [5 800- 8 300]","6900","5800","8300",""
"HIV_0000000006","PUBLISHED","2001","AMR","COL"," 9 300 [6 000-13 000]","9300","6000","13000",""
"HIV_0000000006","PUBLISHED","2001","AFR","COM","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","DEU","<1000 [<1000-<1000]","","","",""
