"REGENTS OF THE UNIVERSITY OF COLORADO, THE",145873.00,NASA
CATHOLIC UNIVERSITY OF AMERICA (THE),37642.00,NASA
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,141092.00,NASA
SETI INSTITUTE,70938.00,NASA
TRUSTEES OF TUFTS COLLEGE INC,89085.00,NSF
CASE WESTERN RESERVE UNIVERSITY,240299.00,NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,96423.00,NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",20222.00,NSF
"WASHINGTON UNIVERSITY, THE",104367.30,NSF
GEORGE MASON UNIVERSITY,111816.00,NSF
PORTLAND STATE UNIVERSITY,178990.00,NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,96671.00,NSF
TRUSTEES OF BOSTON UNIVERSITY,24314.23,NSF
UNIVERSITY OF CINCINNATI,475995.10,NSF
UNIVERSITY OF WASHINGTON,46210.00,NASA
NORTHWESTERN UNIVERSITY,50000.00,NASA
"UNIVERSITY OF CHICAGO, THE",47929.00,NASA
"AMERICAN SOCIETY FOR CELL BIOLOGY, THE",241987.00,NSF
"UNIVERSITY OF IOWA, THE",15070.00,NSF
"VOLTMED, INC.",225000.00,NSF
"FLORIDA MEMORIAL UNIVERSITY, INC.",293421.00,NSF
UNIVERSITY OF MASSACHUSETTS,400000.00,NSF
PURDUE UNIVERSITY,166389.00,NSF
UNIVERSITY OF CENTRAL FLORIDA,4933.00,NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE",44999.00,NSF
UNIVERSITY OF MIAMI,400000.00,NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE",103632.00,NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE",400000.00,NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",22500.00,NSF
ARIZONA STATE UNIVERSITY,200000.00,NSF
"NEXTINPUT, INC.",150000.00,NSF
"AEOLUS BUILDING EFFICIENCY, INC",224914.00,NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,400000.00,NSF
"APPSCALE SYSTEMS, INC",150000.00,NSF
CIRTEMO CORPORATION,149832.00,NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,451768.00,NSF
"SYZYGY MEMORY PLASTICS CORP., THE",150000.00,NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",177239.00,NASA
UNIVERSITY OF TEXAS - PAN AMERICAN,50000.00,NSF
"ETAPHASE, INCORPORATED",150000.00,NSF
THRUPORE TECHNOLOGIES LLC,150000.00,NSF
"UNIVERSITY OF CHICAGO, THE",103624.00,NSF
"SUBWAY LABS, INC",150000.00,NSF
ANGION BIOMEDICA CORP.,149761.00,NSF
UNIVERSITY OF ROCHESTER,400000.00,NSF
DYNAMIC IDEAS LLC,150000.00,NSF
OCEAN NANO TECH LLC,225000.00,NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,50000.00,NSF
"KINDERLAB ROBOTICS, INC.",150000.00,NSF
MOAI TECHNOLOGIES LLC,224503.00,NSF
"SENSULIN, LLC",225000.00,NSF
ELLIS INDUSTRIAL DESIGN LLC,150000.00,NSF
MICHIGAN STATE UNIVERSITY,400000.00,NSF
AMORPHYX INC,150000.00,NSF
VORCAT INC,150000.00,NSF
NORTHEASTERN UNIVERSITY,400000.00,NSF
ATOM INC,149999.00,NSF
EYE-PREDICT LLC,150000.00,NSF
"PENNSYLVANIA STATE UNIVERSITY, THE",436944.00,NSF
TALLANNQUEST LLC,150000.00,NSF
AMERICAN MATHEMATICAL SOCIETY,295111.00,NSF
"OPTIMAL PROCESS TECHNOLOGIES, LLC",149226.00,NSF
"POLYK TECHNOLOGIES, LLC",150000.00,NSF
HONEYBEE ROBOTICS LTD,149883.00,NSF
FOLIO PHOTONICS LLC,150000.00,NSF
"EIE MATERIALS, INC",150000.00,NSF
PROTABIT LLC,225000.00,NSF
DIMIEN LLC,149348.00,NSF
GEORGE MASON UNIVERSITY,160000.00,NSF
"MAVRIC SEMICONDUCTOR, INC.",149734.00,NSF
LONGEVITY BIOTECH,150000.00,NSF
C2SENSE LLC,145500.00,NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",50000.00,NSF
INVENTEK CORP,149984.00,NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,400000.00,NSF
EARTHCLEAN CORP,149468.00,NSF
T3MEMORY USA INC,137763.00,NSF
GREEN SCHINGLE LLC,150000.00,NSF
SONATA BIOSCIENCES INC,150000.00,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,50000.00,NSF
APPLIED NOVEL DEVICES,149991.00,NSF
"CONEXTIONS, INC.",150000.00,NSF
ANDROSROBOTICS LLC,225000.00,NSF
"LASER PRISMATICS, LLC",149999.00,NSF
"NA 4 B, LLC",150000.00,NSF
"NANORIDGE MATERIALS, INC.",224994.00,NSF
"NEAR EARTH AUTONOMY, INC.",224850.00,NSF
"ENCLAVIX, LLC",150000.00,NSF
"HIGH TECHNOLOGY MATERIALS, LLC",205075.00,NSF
UNIVERSITY OF WYOMING,8407.00,NSF
COLORADO STATE UNIVERSITY,11475.00,NSF
J&F ENTERPRISE,19184.00,NASA
UNIVERSITY OF PITTSBURGH THE,97554.00,NASA
SMITHSONIAN INSTITUTION,53072.00,NASA
SETI INSTITUTE,65273.00,NASA
UNIVERSITY OF ALASKA FAIRBANKS,33161.00,NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,23143.00,NSF
UNIVERSITY OF HOUSTON SYSTEM,45500.00,NSF
"ARCTIC RESEARCH CONSORTIUM OF THE UNITED STATES, INCORPORATED",697102.00,NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,136353.00,NSF
UNIVERSITY OF TEXAS AT AUSTIN,21495.00,NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,18000.00,NSF
COLORADO STATE UNIVERSITY,14000.00,NSF
TRUSTEES OF BOSTON UNIVERSITY,153557.00,NSF
UNIVERSITY OF WASHINGTON,197028.23,NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE",17808.00,NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,250000.00,NSF
BOWDOIN COLLEGE,148134.00,NSF
"POLYDROP, LLC",225000.00,NSF
"AMEBAGONE, LLC",149243.00,NSF
"LUMANY, LLC",225000.00,NSF
"UNIVERSITY OF CHICAGO, THE",500959.34,NSF
INTELLIGENT COMPUTER PROGRAMMING LABS INC.,128004.00,NSF
JUDICIARY COURTS OF THE COMMONWEALTH OF VIRGINIA,75000.00,NASA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,100000.00,NASA
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",23000.00,NSF
"TPHOTONICS, INC.",150000.00,NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,10997.00,NSF
"ECOLOGICAL SOCIETY OF AMERICA, INCORPORATED",35257.00,NSF
"UNIVERSITY OF CALIFORNIA, DAVIS",35000.00,NSF
"CORNELL UNIVERSITY, INC",520000.00,NSF
PREMITEC INC,212116.00,NSF
TRUSTEES OF TUFTS COLLEGE INC,180000.00,NSF
HELMHOLTZ-ZENTRUM POTSDAM - DEUTSCHES GEOFORSCHUNGSZENTRUM GFZ,850000.00,NSF
IDAHO STATE UNIVERSITY,571401.00,NSF
DUKE UNIVERSITY,1219422.00,NSF
MATERIALS RESEARCH SOCIETY,7000.00,NSF
SMITHSONIAN INSTITUTION,129112.40,NSF
LOUISIANA STATE UNIVERSITY SYSTEM,15000.00,NSF
UNIVERSITY OF ILLINOIS,977060.00,NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,950000.00,NSF
YALE UNIVERSITY,15000.00,NSF
SONOVOL LLC,225000.00,NSF
APPLIED QUANTUM ENOVATION LLC,225000.00,NSF
UNIVERSITY OF CONNECTICUT,422700.10,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",100000.00,NASA
"NATIONAL COUNCIL FOR SCIENCE AND THE ENVIRONMENT, THE",30000.00,NASA
EAST CAROLINA UNIVERSITY,211297.00,NASA
,172000.00,NSF
TRUSTEES OF DARTMOUTH COLLEGE,1400236.00,NSF
GEORGE MASON UNIVERSITY,73750.00,NSF
DOT METRICS TECHNOLOGIES INC,149135.00,NSF
NVIEW MEDICAL INC.,150000.00,NSF
WESTERN MICHIGAN UNIVERSITY,12000.00,NSF
VERAPHOTONICS INC,207172.00,NSF
UNIVERSITY OF HAWAII SYSTEMS,89511.00,NSF
BIOSENSOR TECH LLC,150000.00,NSF
"OHIO STATE UNIVERSITY, THE",93902.00,NSF
FLORIDA INTERNATIONAL UNIVERSITY,49000.00,NSF
UNIVERSITY OF WISCONSIN SYSTEM,968953.00,NSF
"IP SHAKTI, LLC",150000.00,NSF
GEORGIA TECH RESEARCH CORPORATION,13000.00,NSF
TEXAS A & M UNIVERSITY,700000.00,NSF
ARQBALL LLC,150000.00,NSF
"IMPULSONIC, INC",149808.00,NSF
STF TECHNOLOGIES LLC,225000.00,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",100000.00,NASA
BAY AREA ENVIRONMENTAL RESEARCH INSTITUTE INC,297900.00,NASA
UNIVERSITY OF TENNESSEE,84265.00,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",160459.00,NASA
CARNEGIE MELLON UNIVERSITY,180929.00,NASA
ARIZONA STATE UNIVERSITY,249999.00,NASA
490 BIOTECH INC,150000.00,NSF
UNIVERSITY OF MASSACHUSETTS,48051.00,NSF
M2 PHOTONICS INNOVATIONS,225000.00,NSF
MICROSOL TECHNOLOGIES INC.,149613.00,NSF
MSP CORPORATION,150000.00,NSF
"NANOMEDTRIX, LLC",150000.00,NSF
OREGON STATE UNIVERSITY,320709.70,NSF
NANOAFFIX SCIENCE LLC,150000.00,NSF
REBOUND TECHNOLOGY LLC,141507.00,NSF
RENSSELAER POLYTECHNIC INSTITUTE,65755.95,NSF
"ACCLIMA, INC.",150000.00,NSF
"ARYTHA BIOSCIENCES, LLC",150000.00,NSF
DEVICEFARM,150000.00,NSF
STASYS MEDICAL CORPORATION,149993.00,NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,94702.00,NSF
SONITRACK SYSTEMS,150000.00,NSF
"BACTERIAL ROBOTICS, LLC",150000.00,NSF
OREGON STATE UNIVERSITY,141950.31,NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",34549.00,NSF
PACKET DIGITAL LLC,150000.00,NSF
MOJO LABS INC,149933.00,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,400000.00,NSF
SENSORHOUND INNOVATIONS LLC,150000.00,NSF
CATHOLIC UNIVERSITY OF AMERICA (THE),116128.00,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",107466.00,NASA
UNIVERSITY OF ILLINOIS,94601.00,NASA
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",140000.00,NASA
"FIRESTAR ENGINEERING, LLC",149980.00,NSF
UNIVERSITY OF MISSOURI SYSTEM,74209.00,NSF
NOTSOLDSEPARATELY.COM LLC,224999.00,NSF
"VANDERBILT UNIVERSITY, THE",32200.00,NSF
"PENNSYLVANIA STATE UNIVERSITY, THE",249421.00,NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,50000.00,NSF
WORCESTER POLYTECHNIC INSTITUTE,50000.00,NSF
"UNIVERSITY OF CALIFORNIA, DAVIS",400000.00,NSF
UNIVERSITY OF CONNECTICUT,18423.00,NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,50000.00,NSF
"CORNELL UNIVERSITY, INC",50000.00,NSF
"UNIVERSITY OF TOLEDO, THE",50000.00,NSF
SAN FRANCISCO STATE UNIVERSITY,15791.00,NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,400000.00,NSF
VISTEX COMPOSITES LLC,150000.00,NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,48279.00,NSF
BAYLOR UNIVERSITY,30370.00,NSF
TENNESSEE TECHNOLOGICAL UNIVERSITY,50000.00,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,12440.00,NSF
"UNIVERSITY OF CALIFORNIA, DAVIS",104977.00,NSF
OREGON STATE UNIVERSITY,112494.00,NSF
LOYOLA MARYMOUNT UNIVERSITY INC,55465.80,NSF
UNIVERSITY OF OKLAHOMA,33000.00,NASA
UNIVERSITY OF WISCONSIN SYSTEM,109787.00,NASA
"PENNSYLVANIA STATE UNIVERSITY, THE",46945.00,NASA
UNIVERSITY OF MARYLAND,165000.00,NASA
